Gene ID	Gene Name	EBV-transformed lymphocyte	K-562 cell line	adrenal gland	amygdala	anterior cingulate cortex	aorta	atrium auricular region	blood	breast (mammary tissue)	caudate nucleus	cerebellar hemisphere	cerebellum	cerebral cortex	coronary artery	cortex of kidney	ectocervix	esophagogastric junction	esophagus mucosa	esophagus muscularis mucosa	fallopian tube	frontal cortex	heart left ventricle	hippocampal formation	hypothalamus	liver	lower leg skin	lung	minor salivary gland	nucleus accumbens	ovary	pancreas	pituitary gland	prostate gland	putamen	sigmoid colon	skeletal muscle tissue	spinal cord (cervical c-1)	spleen	stomach	subcutaneous adipose tissue	substantia nigra	suprapubic skin	terminal ileum of small intestine	testis	thyroid gland	tibial artery	tibial nerve	transformed fibroblast	transverse colon	urinary bladder	uterus	vagina	visceral (omentum) adipose tissue
ENSG00000001460	STPG1		1	1	1	2	0.6	0.6		1	2	3	3	2	0.6	1	1	0.9	1	1	1	3		1	2		1	1	1	2	1	0.7	3	1	1	1		1	0.6	0.8	0.8	1	1	1	9	1		0.7	1	2	0.9	1	1	1
ENSG00000001461	NIPAL3	3	4	3	13	11	1	3	1	3	10	27	25	11	1	3	1	2	4	2	2	11	3	12	17	0.6	4	3	4	10	2	3	3	8	12	4	0.6	23	2	4	1	21	3	3	2	6	0.6	3	4	4	2	2	2	2
ENSG00000001497	LAS1L	12	22	8	10	11	9	6	2	10	11	31	35	16	8	5	11	13	6	12	13	12	4	10	13	4	9	7	8	12	16	5	9	11	12	11	4	12	10	7	10	12	9	8	22	10	10	15	6	7	10	14	9	7
ENSG00000001561	ENPP4	9		4	7	8	10	6	1	6	7	6	6	6	11	4	2	7	0.8	7	3	8	5	8	9	2	2	8	7	7	1	4	7	4	6	5	7	18	5	6	8	12	1	5	5	6	12	6	1	5	4	2	1	8
ENSG00000001617	SEMA3F		0.9	3	1	1	10	3		14	2	1	2	3	10	12	9	5	42	5	8	2	4	1	2	2	31	19	13	2	1	2	5	19	2	4	2	2	30	7	10	2	34	6	2	14	7	6	3	4	14	8	28	13
ENSG00000001626	CFTR										0.5										0.7				0.6		0.9	1	6	0.6		40		0.9	0.5			1				0.8	0.6	2	0.7					11		0.5		
ENSG00000001629	ANKIB1	17	7	6	9	8	7	4	1	7	9	8	8	7	7	4	7	5	5	5	6	7	3	9	10	2	7	6	7	9	7	4	6	5	8	6	3	11	5	5	7	11	7	6	11	7	8	7	9	5	8	6	6	7
ENSG00000001630	CYP51A1	2	6	2	0.5	0.6						0.6	0.5	0.5			0.5		1			0.7		0.5	0.7	0.6	0.5	0.8	0.6		0.7							1		0.6		0.5	0.6	0.5	2			0.5	1	0.8	0.5		0.7	0.5
ENSG00000001631	KRIT1	10	10	6	4	5	6	4	1	7	4	8	8	5	6	5	7	6	5	6	7	5	3	4	5	4	5	6	7	5	7	5	10	6	4	6	4	4	7	6	7	4	5	7	9	9	6	7	7	6	7	7	7	6
ENSG00000002016	RAD52	3	2	3	3	3	4	3	0.9	5	3	7	8	5	4	3	5	6	3	4	4	3	2	3	3	3	3	4	4	4	7	3	6	6	3	5	3	3	5	3	4	3	4	4	4	8	4	7	3	5	5	6	4	3
ENSG00000002330	BAD	10	6	21	20	22	18	20	8	15	19	13	13	26	20	19	19	24	16	22	19	22	10	22	18	14	17	15	17	18	17	9	18	23	20	21	6	16	15	22	14	19	19	13	22	20	14	17	14	20	16	20	16	15
ENSG00000002549	LAP3	68	22	21	12	8	15	12	8	22	11	6	7	9	15	23	11	12	10	15	15	9	12	11	12	21	13	30	15	11	9	6	9	10	10	12	13	17	25	13	26	15	12	16	19	16	12	17	16	15	13	12	11	27
ENSG00000002586	CD99	28	12	34	18	12	94	54	33	68	20	7	10	11	93	24	78	70	43	71	64	10	42	18	25	30	67	63	48	20	73	33	33	67	16	74	20	43	53	35	106	26	60	50	68	36	82	96	112	49	70	83	78	81
ENSG00000002587	HS3ST1			0.5	0.5	0.6		0.6		0.6		8	7	0.8		2	1	0.5	2		2	0.8		0.6	0.6			0.7	1		13		2	0.9				0.7	0.8	0.7		0.6		0.8	0.7	0.7		0.6		0.5	2	1	0.9	0.9
ENSG00000002726	AOC1															23			0.7							0.7	0.6									0.7								37	1					53				
ENSG00000002745	WNT16					0.5																					2												0.5				3										2	
ENSG00000002746	HECW1				1	3					0.7	2	2	4		1						4		0.7	0.8					0.9					0.7							0.7			0.6									
ENSG00000002822	MAD1L1	6	4	2	2	2	2	2	3	3	2	2	2	2	2	2	3	2	2	2	2	2	1	2	2	1	4	3	2	2	2	1	3	3	3	2	2	2	5	2	2	2	4	2	8	3	2	3	2	2	2	3	3	2
ENSG00000002834	LASP1	33	47	15	13	16	21	8	45	23	11	9	10	16	29	20	17	11	15	11	18	15	6	12	14	15	14	28	19	12	16	14	15	13	10	11	3	8	28	27	28	10	13	37	7	16	21	25	51	31	13	19	14	26
ENSG00000002919	SNX11	24	8	5	5	6	5	3	13	6	6	5	5	6	6	6	4	7	7	7	5	5	3	5	6	4	6	6	5	6	4	3	6	7	5	6	3	6	13	5	6	5	5	6	7	8	5	6	5	6	5	5	6	6
ENSG00000002933	TMEM176A			5	5	3	4	17	4	14	6	0.7	1	3	8	49	9	8	5	7	9	3	4	4	4	161	5	15	8	5	26	4	3	8	4	11	0.7	8	16	9	8	6	6	43	1	5	2	19	0.8	35	8	5	12	18
ENSG00000003056	M6PR	38	21	16	6	8	13	11	13	15	7	9	8	7	13	9	14	13	12	14	15	8	9	7	9	7	11	19	18	8	14	9	10	13	6	13	7	8	21	13	15	7	11	16	17	16	13	13	21	13	16	15	12	15
ENSG00000003096	KLHL13		0.6	1	1	1	1	0.9		2	3	0.9	1	0.6	0.8	2	5	2	0.7	2	2	0.8	0.8	0.8	2				0.6	4	1	0.6	0.7	1	3	1				0.5	0.6	1		0.8	0.9		2	1		0.7	2	8	2	0.5
ENSG00000003137	CYP26B1			1	2	4	4	4		6	1	20	16	3	3	4	1	0.8	1	0.7	2	4		1	1		16	1	6	1	2		6	1	1	1	0.8	0.5	2		13	1	15	2	9	8	2	7		1	1	2	3	11
ENSG00000003147	ICA1	0.5	7	0.8	4	7	0.8	7	0.7	7	5	10	9	8	1	4	3	1	3	1	3	8	6	4	3	2	5	5	7	5	0.6	13	9	7	4	1	0.7	1	5	9	7	2	5	4	17	4	0.7	2		6	5	2	3	6
ENSG00000003249	DBNDD1	9	4	3	13	21	3	0.6		1	10	11	14	27	0.6	5		2	9	2	0.8	22	1	12	10	1	2	2	4	8	1	4	4	2	9	1	7	5	0.6	3	0.5	10	2	0.7	0.9	2		0.6		1	1		3	0.7
ENSG00000003393	ALS2	2	4	2	3	5	3	4	0.6	4	3	45	41	5	3	3	3	3	2	3	3	6	4	3	3	4	3	4	3	3	3	2	6	3	3	3	3	3	3	3	3	3	3	3	3	4	3	5	5	2	3	3	3	3
ENSG00000003400	CASP10	3	5	1	0.7	0.7	1	1	5	3	0.9	0.5	0.7	0.7	1	3	2	1	4	1	2	0.6	1	0.9	0.9	2	2	6	3	0.9	0.6	2	0.7	2	0.9	2	0.6	2	10	3	4	1	2	5	0.8	3	0.8	2	1	4	2	2	2	3
ENSG00000003402	CFLAR	13	5	7	3	3	9	19	25	14	4	13	15	3	11	9	10	18	8	20	14	3	15	4	4	5	9	23	11	4	7	5	6	14	4	12	17	4	17	8	16	4	9	11	6	18	11	12	6	9	12	12	10	14
ENSG00000003436	TFPI	0.5	11	2		0.5	4	4		8	0.5	0.5	0.7	0.5	7	6	7	4	2	4	5		2		0.5	14	3	21	3	0.5	3	2	1	3	0.5	3	3	0.6	4	2	8	0.5	3	5	1	8	5	7	11	2	6	4	5	8
ENSG00000003509	NDUFAF7	7	6	7	3	4	4	4	2	5	4	5	5	4	4	4	5	5	3	4	4	4	5	3	4	4	3	4	5	3	5	3	6	5	3	8	5	3	6	4	4	3	3	5	21	4	4	5	4	5	4	6	4	4
ENSG00000003756	RBM5	19	9	14	11	11	15	12	15	27	12	25	28	14	16	14	24	24	15	20	23	12	9	12	13	9	22	21	18	14	38	14	34	31	10	20	9	14	28	17	22	13	23	21	24	30	16	32	11	19	22	28	22	17
ENSG00000003987	MTMR7		0.5		3	4				0.5	3	6	5	3	0.6		0.7	0.6		0.6	0.8	4		3	3		0.7	0.5		3	1		4		2	0.6		3			0.5	3	0.6	0.5	1	0.7	0.6	0.6			0.5	0.6		0.6
ENSG00000003989	SLC7A2			3	2	2	5	6		11	2	0.5	0.8	2	14	3	21	6	4	4	19	2	5	2	1	49	6	5	3	2	51	17	2	9	2	3	41	1	2	4	19	0.9	4	3	8	14	23	30	4	2	6	9	9	15
ENSG00000004059	ARF5	41	57	37	37	54	41	25	51	44	43	53	50	57	41	42	49	42	66	39	44	56	22	41	33	29	74	40	49	46	42	43	57	51	42	39	22	23	60	48	39	30	73	46	49	41	34	47	38	47	40	52	53	36
ENSG00000004139	SARM1	1		2	0.9	1	1	0.5		1	1	3	4	2	1	1	1	1	0.5	1	2	1		1	1	0.9	0.9	1	1	1	1	2	3	2	0.9	1		0.8	2	1	0.9	0.7	0.9	1	0.7	1	1	0.9	0.6	1	2	2	0.8	0.8
ENSG00000004142	POLDIP2	53	43	96	29	34	32	43	18	36	29	31	33	41	35	65	31	39	44	40	32	34	59	28	27	73	42	31	35	29	32	34	37	41	28	39	89	19	37	44	36	25	40	31	61	35	29	30	50	39	36	34	34	35
ENSG00000004399	PLXND1		5	11	6	7	17	12	5	23	5	1	2	9	24	9	22	10	5	9	19	6	8	6	6	4	7	29	7	4	7	4	6	11	5	7	3	11	20	7	27	9	8	11	5	18	16	24	19	6	11	22	16	32
ENSG00000004455	AK2	48	78	17	8	7	12	12	9	20	8	14	14	7	14	28	19	13	18	13	17	6	10	7	10	19	16	16	17	7	16	10	15	17	7	14	13	12	16	16	18	10	18	18	14	25	11	19	21	21	15	17	17	15
ENSG00000004468	CD38	16		1	1	0.9	0.7	2	2	0.7	3			0.9	1			0.5	0.6	0.6	1	0.8	1	1	1	0.6		2	0.9	2			1	2	2		1	0.6	7	0.5	2	1		3		1	0.6	2		1				1
ENSG00000004478	FKBP4	21	28	17	15	22	13	11	6	17	16	44	43	25	16	23	20	15	29	15	16	23	12	17	23	17	24	12	21	16	17	16	19	23	14	14	18	16	11	25	9	18	24	11	35	21	17	18	11	17	18	14	24	13
ENSG00000004487	KDM1A	21	54	14	7	9	10	8	3	15	8	16	16	11	10	9	18	14	13	13	17	11	6	8	9	6	14	12	17	9	22	9	22	18	7	15	10	5	13	12	12	6	15	15	49	15	10	13	12	14	17	20	16	10
ENSG00000004534	RBM6	26	13	22	16	15	27	18	12	31	16	38	33	16	25	19	37	38	19	32	31	15	14	16	16	17	22	31	22	15	38	19	41	52	14	33	10	14	41	23	23	15	24	36	36	39	24	32	15	25	29	40	31	22
ENSG00000004660	CAMKK1	1	2	4	8	15	2	1	5	2	13	17	17	25	2	1	5	2	2	2	3	23	0.8	8	4		6	2	4	13	3	3	12	3	10	4	0.6	1	4	1	2	3	5	3	5	3	6	2	1	2	5	7	5	2
ENSG00000004700	RECQL	19	12	5	2	2	8	4	2	6	2	3	2	2	7	3	5	5	3	6	6	2	3	2	2	2	3	7	5	2	4	2	2	3	2	5	3	3	6	3	8	2	4	5	3	5	8	6	15	3	6	6	4	7
ENSG00000004766	VPS50	3	2	3	2	4	2	2	0.6	3	3	5	5	4	2	2	3	3	2	3	3	4	2	3	3	1	3	3	3	3	2	2	3	2	2	3	2	2	3	2	2	2	3	3	3	3	2	3	2	3	3	3	3	2
ENSG00000004776	HSPB6			115	9	7	157	90	0.6	98	14	3	3	9	209	17	300	130	14	122	199	9	255	7	8	6	12	34	25	10	171	11	4	80	14	203	331	18	5	22	169	12	10	18	23	29	157	63	27	48	171	159	127	216
ENSG00000004777	ARHGAP33	5	4	4	13	15	7	2	2	7	13	17	19	19	6	5	9	7	4	5	8	13	2	12	11	2	5	4	5	16	16	4	26	8	14	6	0.9	14	7	6	4	11	5	6	30	9	6	9	1	5	5	9	8	4
ENSG00000004779	NDUFAB1	38	57	34	25	31	20	87	5	17	24	23	22	29	22	29	18	22	21	23	21	30	88	25	28	26	15	17	21	26	15	14	29	19	24	28	39	14	22	26	17	23	17	26	24	20	18	17	18	34	18	20	19	20
ENSG00000004799	PDK4			102	15	9	37	66	3	164	18	2	4	8	127	37	55	108	18	103	98	12	92	14	14	15	36	69	30	16	105	55	18	49	12	128	564	27	54	49	169	22	19	58	10	36	61	109	0.8	52	135	25	46	154
ENSG00000004809	SLC22A16								0.6																																				7									
ENSG00000004838	ZMYND10				0.8	0.7			0.5		2	1	2	0.8		0.8	0.5				3	0.5		0.8	2	0.5		2		3		0.6	3		1			0.7	0.7			0.7			112	0.8		0.6				0.5		
ENSG00000004846	ABCB5									0.7																																												
ENSG00000004848	ARX				2	5					3			3								4		2	1					3	49				3		2								3									
ENSG00000004864	SLC25A13	7	23	9	3	2	3	3	1	7	3	3	3	3	4	9	6	4	6	4	7	2	2	4	5	26	9	7	6	3	6	4	7	7	3	5	3	9	7	7	7	6	8	8	5	7	5	7	3	10	5	5	6	7
ENSG00000004866	ST7	8	7	5	2	3	5	4	0.8	3	2	7	7	3	6	3	4	3	2	3	4	3	3	2	3	4	3	6	3	2	4	4	7	4	2	3	1	1	2	3	3	2	2	3	3	6	6	3	3	2	3	4	3	3
ENSG00000004897	CDC27	17	20	7	6	8	8	6	3	10	5	9	8	6	8	4	8	7	5	7	9	7	5	6	8	4	6	8	6	6	6	3	7	6	5	7	7	5	7	5	11	6	6	6	9	13	9	9	13	5	7	9	7	9
ENSG00000004939	SLC4A1		2						33			0.5	0.6			10																							1															
ENSG00000004948	CALCR																								2																													
ENSG00000004961	HCCS	12	21	8	4	7	5	13	4	6	4	7	6	6	6	8	4	8	7	9	5	8	13	5	5	4	8	6	7	5	4	3	5	5	4	8	12	3	8	7	6	4	7	8	7	6	5	5	10	11	7	5	5	6
ENSG00000004975	DVL2	8	10	10	3	4	7	4	2	8	4	9	11	6	7	7	14	9	8	9	11	4	3	4	4	3	11	7	8	5	15	3	14	13	4	9	3	4	8	5	7	4	10	7	10	9	8	10	7	7	9	14	12	5
ENSG00000005001	PRSS22									5		0.5	1			6			53		3					0.6	2	4	42			7	6	13						7			4	0.5		5				0.6	5		17	
ENSG00000005007	UPF1	14	18	14	6	7	12	8	13	15	8	18	20	10	13	12	15	16	14	16	13	8	7	6	7	9	16	14	17	8	14	10	18	19	7	15	8	7	19	13	13	7	15	15	25	16	14	13	13	15	15	15	15	12
ENSG00000005020	SKAP2	13	7	10	3	5	3	2	19	9	2	2	2	4	2	6	4	9	6	11	3	5	0.7	3	5	1	3	11	2	3	4	1	3	3	2	5	2	13	10	2	6	4	4	7	7	3	6	6	6	6	11	2	5	12
ENSG00000005022	SLC25A5	218	391	98	60	78	62	58	53	76	70	65	63	84	66	235	69	91	184	109	81	85	53	61	54	88	144	125	117	69	56	186	56	68	72	139	14	52	114	248	82	66	150	204	46	76	67	58	73	297	117	69	124	85
ENSG00000005059	MCUB	13	2	0.8	1	2	2	4	4	4	0.8			0.8	3	0.8	5	2	3	2	4	0.7	0.8	1	2		4	4	4	0.7	3	0.6	2	2	0.7	2	0.5	2	6	1	6	1	4	4	2	2	2	4	4	2	2	5	5	5
ENSG00000005073	HOXA11															1	20										0.7							8		12	2				2		0.6				6	3	6	6	9	51	6	
ENSG00000005075	POLR2J	19	29	24	16	13	16	18	18	14	17	16	15	13	16	16	16	19	16	16	16	13	17	16	18	16	16	13	17	17	19	11	26	21	16	16	23	16	23	18	13	17	16	16	19	17	12	14	17	17	16	16	15	15
ENSG00000005100	DHX33	10	6	4	3	4	3	2	0.7	5	3	6	6	5	4	3	4	4	4	4	6	4	2	3	2	3	4	4	5	3	5	3	4	5	3	4	3	2	5	4	4	2	4	4	5	5	3	6	10	4	5	6	4	4
ENSG00000005102	MEOX1						0.9	4		11					2		3	3	2	3	6		4				4		3			0.5		1		1	2		5	1	16		3	2	0.6	0.8	1	4		1	3	3	5	13
ENSG00000005108	THSD7A			0.5	1	1				2	1		0.6	0.9	0.6	2	2	0.6		0.5	2	1		1	1			0.7	0.5	1	0.8		1	1	0.8	0.6		0.9			2	0.9			0.5	1		4			2	1	1	2
ENSG00000005156	LIG3	3	6	2	1	1	2	1	1	2	1	2	3	2	2	1	3	2	2	2	3	1	1	1	1	1	2	2	2	1	3	2	3	4	1	3	2	1	3	2	1	0.9	2	2	6	3	2	2	2	2	2	4	3	1
ENSG00000005175	RPAP3	6	11	3	3	4	3	3	2	4	3	6	5	3	3	2	4	3	4	3	5	4	2	3	4	2	3	3	4	3	7	2	4	4	3	5	5	3	4	3	3	3	3	4	6	4	3	4	5	3	5	5	4	3
ENSG00000005187	ACSM3	2	52	1				2		0.8					0.8	5	4	0.5		0.5	8		1			4		1	0.7		45	5		3		1				5			0.6	0.7	6					2	2	9	1	0.5
ENSG00000005189	AC004381.6	4	14	2	0.6	0.8	0.6	0.8		1	0.7	2	2	0.9	0.7	0.5	1	0.8	0.9	0.7	1	0.8	0.8	0.5	0.6		1	0.7	0.9	0.9	1	0.6	0.7	2	0.5	0.9			0.6	3	1		1	0.7	128		0.6	0.7	0.9	1	2	1	1	1
ENSG00000005194	CIAPIN1	11	20	13	6	9	6	11	4	9	6	11	11	11	7	12	7	8	11	8	7	11	10	6	9	6	13	10	9	7	7	5	9	10	6	8	8	5	11	9	9	7	12	9	35	10	6	9	10	10	7	8	9	7
ENSG00000005206	SPPL2B	7	11	9	6	7	7	5	5	13	7	17	19	8	8	15	10	10	8	9	14	6	4	6	8	7	11	9	10	7	12	12	40	17	7	12	5	7	19	13	9	7	12	22	30	18	6	12	5	23	9	12	9	7
ENSG00000005238	FAM214B	3	3	5	5	5	9	4	18	4	5	4	5	6	8	5	4	5	8	5	4	5	4	5	6	2	5	8	5	5	3	1	6	6	5	5	2	7	11	4	5	6	5	5	4	5	7	5	4	6	4	4	5	5
ENSG00000005243	COPZ2	0.9		12	3	2	25	13	0.6	12	3	0.9	1	2	21	6	11	22	4	23	12	2	8	4	3	8	11	7	8	2	5	4	4	12	3	16	14	9	5	3	22	5	11	3	10	14	20	25	19	6	10	12	12	19
ENSG00000005249	PRKAR2B		68	26	10	20	1	8	3	17	17	6	4	15	3	2	6	23	3	23	4	23	3	11	10	0.6	2	5	4	19	14	2	9	5	15	5	0.5	4	9	4	57	8	2	6	13	2	3	8	0.5	5	14	5	3	66
ENSG00000005302	MSL3	21	5	4	4	5	5	3	24	7	4	6	5	5	5	3	5	5	5	5	5	6	2	4	5	3	6	8	6	4	5	2	5	6	3	5	5	4	17	4	6	4	6	7	7	6	5	7	5	5	6	5	5	5
ENSG00000005339	CREBBP	7	4	5	3	4	9	4	6	9	4	11	12	5	8	4	10	8	6	9	8	4	3	3	4	4	10	8	7	4	12	4	7	8	3	9	6	3	8	6	8	3	9	8	11	10	10	9	8	6	9	13	9	7
ENSG00000005379	TSPOAP1	1	0.7	5	21	22	4	2	1	5	13	13	17	24	3	4	7	7	2	6	12	19	2	17	8	1	2	3	5	15	14	4	23	11	11	7	0.7	2	5	5	1	6	2	4	0.9	9	4	3		3	5	10	5	1
ENSG00000005381	MPO		1			0.8			6				0.5	0.9								0.7		0.6	0.5			2					1		0.5				7						0.5									
ENSG00000005421	PON1			2																						86							0.7																					
ENSG00000005436	GCFC2	5	5	3	2	2	3	2	0.6	4	2	3	4	3	3	3	5	3	2	3	5	2	2	2	3	3	3	3	3	3	5	3	4	4	2	3	5	3	3	3	4	2	3	3	5	5	3	4	3	3	3	5	4	3
ENSG00000005448	WDR54	22	5	3	4	5	2	1	2	4	5	7	7	6	3	4	4	3	2	3	5	5	0.8	5	6	0.8	3	4	3	6	6	1	14	4	4	3		2	6	3	3	3	3	3	17	4	2	8	5	2	4	5	4	2
ENSG00000005469	CROT	3	2	5	2	3	4	2		4	2	3	3	2	4	4	4	3	8	3	4	2	1	2	2	4	6	3	4	3	4	1	3	7	2	3	2	1	2	2	2	1	7	5	1	11	3	3	4	5	11	4	9	2
ENSG00000005471	ABCB4	1		3			0.6	0.8															0.7			17													2						0.5			0.5						
ENSG00000005483	KMT2E	17	16	6	8	9	12	7	6	14	8	21	17	8	12	5	15	11	8	10	13	9	4	8	8	3	13	13	12	8	14	6	9	11	7	11	5	9	9	8	13	8	13	10	8	13	16	16	10	12	14	14	12	11
ENSG00000005486	RHBDD2	8	21	96	59	91	18	16	28	23	83	24	28	92	18	34	23	17	17	16	23	85	10	70	97	22	23	34	22	100	30	15	151	38	75	18	8	22	27	23	21	50	21	22	54	43	15	42	14	18	22	21	22	18
ENSG00000005513	SOX8				18	10	2	1		1	18	3	4	13	0.9		0.8	1		1	0.8	10	0.5	17	19		3		2	18		0.7	1	0.9	21	1		26	0.9			28	2	1	2		0.5	26		0.6	0.6	0.5	0.7	0.5
ENSG00000005700	IBTK	12	11	11	4	4	5	5	0.9	6	4	8	8	4	5	4	6	5	6	6	7	5	5	4	5	9	3	6	7	4	7	6	6	6	4	5	7	5	5	6	6	5	4	5	4	6	5	7	10	6	6	6	6	6
ENSG00000005801	ZNF195	7	9	3	4	4	2	2	0.8	4	4	7	7	4	2	4	4	2	3	2	4	4	2	4	5	3	2	4	4	4	3	3	4	5	4	3	3	4	6	4	3	4	3	5	2	5	1	3	4	5	4	4	3	3
ENSG00000005810	MYCBP2	20	3	4	5	9	6	5	2	8	6	14	14	13	7	2	8	5	7	6	6	12	3	6	6	2	13	6	6	8	8	3	7	5	5	5	4	4	8	4	15	5	11	6	7	6	10	9	11	3	7	6	8	10
ENSG00000005812	FBXL3	6	3	5	6	7	11	5	3	11	6	9	9	6	13	4	9	7	6	7	10	7	4	6	6	3	7	8	8	6	9	3	4	7	5	7	5	6	6	5	14	5	7	7	8	12	18	15	10	6	8	10	8	10
ENSG00000005844	ITGAL	25		0.7	0.6		0.9	0.6	46	1	0.5	0.5	0.6		0.9	0.6	1		1	0.5	3			0.6	0.8	3		10	2				0.8	1		0.5		2	38	1	1	1	0.6	9	0.6	1		1		2	1	0.7	1	2
ENSG00000005882	PDK2	0.7		13	6	8	6	12	1	5	8	22	22	10	6	7	5	8	3	7	5	8	14	5	4	4	5	3	4	9	9	6	3	4	7	7	14	3	4	6	6	4	4	5	4	6	8	6	2	8	7	6	5	6
ENSG00000005884	ITGA3	0.5		12	2	3	28	4		8	2	8	8	4	30	22	8	14	10	8	11	3	3	2	3	0.5	12	26	13	2	6	4	14	13	2	9	2	0.9	7	9	6	2	12	10	1	25	29	10	7	13	15	10	8	5
ENSG00000005889	ZFX	4	3	3	2	2	3	3	2	5	2	4	4	2	4	2	7	4	3	4	7	2	2	2	2	2	3	4	3	2	7	2	3	6	2	5	4	2	4	3	5	2	3	4	3	5	4	5	5	4	4	8	6	4
ENSG00000005893	LAMP2	19	32	24	30	17	17	13	37	23	31	10	9	16	16	14	26	11	26	11	17	20	8	32	27	19	21	22	32	24	18	11	14	16	27	12	21	53	16	16	19	41	24	14	9	21	15	21	37	12	16	18	28	20
ENSG00000005961	ITGA2B		5		0.5	0.6		0.7	12			2	3	2			0.6				1	0.9		0.5	0.7			2		0.5	1		2						5						3	2		0.6				0.8	0.6	0.6
ENSG00000005981	ASB4			20	0.7						0.8			0.5								0.5		0.6	0.6					0.5			5		0.9		3	2				1												
ENSG00000006007	GDE1	7	11	13	17	17	11	17	13	10	17	10	11	18	11	9	9	19	10	22	10	18	17	17	12	6	12	13	12	17	7	8	12	14	18	23	14	15	7	16	11	16	12	13	9	10	10	12	14	19	18	11	9	11
ENSG00000006015	C19orf60	8	7	9	9	11	9	8	5	10	8	17	18	12	11	10	12	8	7	7	12	11	6	9	8	9	8	8	9	9	13	8	13	13	8	9	7	7	20	9	8	8	9	12	5	9	9	10	6	10	9	12	11	8
ENSG00000006016	CRLF1	0.7	0.9	4	3	5	27	13	0.5	5	5	1	1	9	62	2	3	7	5	5	5	7	3	2	1	0.5	7	4	9	10	0.7	2	3	2	2	2	3	0.6	1	2	9	0.6	6	2	1	16	64	12	2	2	3	2	2	4
ENSG00000006025	OSBPL7	4	4	2	3	4	5	2	2	3	3	6	7	6	4	4	6	3	2	2	5	4	1	4	4	0.6	0.9	5	4	4	6	6	7	10	3	4	2	3	10	15	2	4	1	14	1	7	2	5	2	18	5	6	5	2
ENSG00000006042	TMEM98		13	10	7	4	13	6		8	8	3	4	5	8	5	15	7	4	6	17	3	2	7	7	2	5	9	11	7	34	9	4	14	7	7	0.5	11	5	14	5	9	4	9	6	9	5	19	13	15	7	20	9	8
